State,Season,_YearMonth,AgeCategory_Legend,Sex_Label,Race_Label,MonthlyRate,Type
Utah,2021-22,202204,All,All,"White, non-Hispanic",7.6,Crude Rate
Utah,2021-22,202206,All,All,"White, non-Hispanic",41.7,Crude Rate
Utah,2021-22,202111,All,All,"White, non-Hispanic",35.6,Crude Rate
Utah,2021-22,202203,All,All,"White, non-Hispanic",11.4,Crude Rate
Utah,2021-22,202207,All,Female,All,38.4,Crude Rate
Utah,2021-22,202203,All,Female,All,12.6,Crude Rate
Utah,2021-22,202112,All,Female,All,37.5,Crude Rate
Utah,2021-22,202208,All,Female,All,24.2,Crude Rate
Utah,2021-22,202110,All,Female,All,36.4,Crude Rate
Utah,2021-22,202202,All,Female,All,41.2,Crude Rate
Utah,2021-22,202201,All,Female,All,107.3,Crude Rate
Utah,2021-22,202111,All,Female,All,35.6,Crude Rate
Utah,2021-22,202205,All,Female,All,16.3,Crude Rate
Utah,2021-22,202209,All,Female,All,19.2,Crude Rate
Utah,2021-22,202206,All,Female,All,37.6,Crude Rate
Utah,2021-22,202204,All,Female,All,6,Crude Rate
Utah,2021-22,202202,All,Male,All,39.6,Crude Rate
Utah,2021-22,202209,All,Male,All,14.2,Crude Rate
Utah,2021-22,202204,All,Male,All,8.2,Crude Rate
Utah,2021-22,202111,All,Male,All,40.1,Crude Rate
Utah,2021-22,202201,All,Male,All,101.2,Crude Rate
Utah,2021-22,202208,All,Male,All,24.7,Crude Rate
Utah,2021-22,202203,All,Male,All,11.7,Crude Rate
Utah,2021-22,202206,All,Male,All,34.4,Crude Rate
Utah,2021-22,202207,All,Male,All,30.7,Crude Rate
Utah,2021-22,202205,All,Male,All,18,Crude Rate
Utah,2021-22,202110,All,Male,All,43.1,Crude Rate
Utah,2021-22,202112,All,Male,All,40.4,Crude Rate
Utah,2021-22,202207,≥18 years (Adults),All,All,41.3,Crude Rate
Utah,2021-22,202206,≥18 years (Adults),All,All,44.7,Crude Rate
Utah,2021-22,202110,≥18 years (Adults),All,All,52.2,Crude Rate
Utah,2021-22,202209,≥18 years (Adults),All,All,19.3,Crude Rate
Utah,2021-22,202112,≥18 years (Adults),All,All,49.6,Crude Rate
Utah,2021-22,202201,≥18 years (Adults),All,All,131.7,Crude Rate
Utah,2021-22,202111,≥18 years (Adults),All,All,47.8,Crude Rate
Utah,2021-22,202204,≥18 years (Adults),All,All,8.9,Crude Rate
Utah,2021-22,202203,≥18 years (Adults),All,All,14.7,Crude Rate
Utah,2021-22,202205,≥18 years (Adults),All,All,21.6,Crude Rate
Utah,2021-22,202208,≥18 years (Adults),All,All,28.9,Crude Rate
Utah,2021-22,202202,≥18 years (Adults),All,All,50.4,Crude Rate
Utah,2021-22,202207,0-17 years (Children),All,All,15.5,Crude Rate
Utah,2021-22,202206,0-17 years (Children),All,All,11.5,Crude Rate
Utah,2021-22,202203,0-17 years (Children),All,All,4.9,Crude Rate
Utah,2021-22,202208,0-17 years (Children),All,All,11.9,Crude Rate
Utah,2021-22,202111,0-17 years (Children),All,All,9.4,Crude Rate
Utah,2021-22,202209,0-17 years (Children),All,All,9.3,Crude Rate
Utah,2021-22,202112,0-17 years (Children),All,All,8.5,Crude Rate
Utah,2021-22,202201,0-17 years (Children),All,All,25.4,Crude Rate
Utah,2021-22,202110,0-17 years (Children),All,All,4.2,Crude Rate
Utah,2021-22,202205,0-17 years (Children),All,All,4.6,Crude Rate
Utah,2021-22,202202,0-17 years (Children),All,All,11.7,Crude Rate
Utah,2021-22,202204,0-17 years (Children),All,All,2,Crude Rate
Utah,2021-22,202110,≥75 years,All,All,176.7,Crude Rate
Utah,2021-22,202208,≥75 years,All,All,178.3,Crude Rate
Utah,2021-22,202202,≥75 years,All,All,230.2,Crude Rate
Utah,2021-22,202205,≥75 years,All,All,162.8,Crude Rate
Utah,2021-22,202204,≥75 years,All,All,67.5,Crude Rate
Utah,2021-22,202201,≥75 years,All,All,444.6,Crude Rate
Utah,2021-22,202111,≥75 years,All,All,162.8,Crude Rate
Utah,2021-22,202209,≥75 years,All,All,159,Crude Rate
Utah,2021-22,202206,≥75 years,All,All,298.7,Crude Rate
Utah,2021-22,202207,≥75 years,All,All,255.4,Crude Rate
Utah,2021-22,202112,≥75 years,All,All,142.9,Crude Rate
Utah,2021-22,202203,≥75 years,All,All,61.5,Crude Rate
Utah,2021-22,202207,1-4 years,All,All,19.5,Crude Rate
Utah,2021-22,202204,1-4 years,All,All,6.4,Crude Rate
Utah,2021-22,202209,1-4 years,All,All,10.6,Crude Rate
Utah,2021-22,202112,1-4 years,All,All,12.8,Crude Rate
Utah,2021-22,202205,1-4 years,All,All,3.2,Crude Rate
Utah,2021-22,202203,1-4 years,All,All,8,Crude Rate
Utah,2021-22,202201,1-4 years,All,All,23.9,Crude Rate
Utah,2021-22,202111,1-4 years,All,All,4.8,Crude Rate
Utah,2021-22,202110,1-4 years,All,All,4.8,Crude Rate
Utah,2021-22,202206,1-4 years,All,All,14.2,Crude Rate
Utah,2021-22,202208,1-4 years,All,All,10.6,Crude Rate
Utah,2021-22,202202,1-4 years,All,All,11.2,Crude Rate
Utah,2021-22,202209,0-<1 year,All,All,59.2,Crude Rate
Utah,2021-22,202202,0-<1 year,All,All,72.8,Crude Rate
Utah,2021-22,202111,0-<1 year,All,All,79.4,Crude Rate
Utah,2021-22,202206,0-<1 year,All,All,110.9,Crude Rate
Utah,2021-22,202110,0-<1 year,All,All,26.5,Crude Rate
Utah,2021-22,202208,0-<1 year,All,All,103.5,Crude Rate
Utah,2021-22,202207,0-<1 year,All,All,96.1,Crude Rate
Utah,2021-22,202204,0-<1 year,All,All,13.2,Crude Rate
Utah,2021-22,202112,0-<1 year,All,All,53,Crude Rate
Utah,2021-22,202201,0-<1 year,All,All,192,Crude Rate
Utah,2021-22,202205,0-<1 year,All,All,53,Crude Rate
Utah,2021-22,202203,0-<1 year,All,All,39.7,Crude Rate
Utah,2021-22,202111,≥85 years,All,All,264.3,Crude Rate
Utah,2021-22,202110,≥85 years,All,All,240.3,Crude Rate
Utah,2021-22,202112,≥85 years,All,All,232.3,Crude Rate
Utah,2021-22,202209,≥85 years,All,All,253.2,Crude Rate
Utah,2021-22,202202,≥85 years,All,All,272.3,Crude Rate
Utah,2021-22,202206,≥85 years,All,All,496.3,Crude Rate
Utah,2021-22,202207,≥85 years,All,All,425.4,Crude Rate
Utah,2021-22,202203,≥85 years,All,All,96.1,Crude Rate
Utah,2021-22,202201,≥85 years,All,All,536.6,Crude Rate
Utah,2021-22,202204,≥85 years,All,All,88.1,Crude Rate
Utah,2021-22,202208,≥85 years,All,All,324.1,Crude Rate
Utah,2021-22,202205,≥85 years,All,All,224.3,Crude Rate
Utah,2021-22,202209,75-84 years,All,All,129.6,Crude Rate
Utah,2021-22,202204,75-84 years,All,All,60.7,Crude Rate
Utah,2021-22,202110,75-84 years,All,All,155.7,Crude Rate
Utah,2021-22,202112,75-84 years,All,All,113.5,Crude Rate
Utah,2021-22,202208,75-84 years,All,All,132.8,Crude Rate
Utah,2021-22,202207,75-84 years,All,All,202.3,Crude Rate
Utah,2021-22,202202,75-84 years,All,All,216.4,Crude Rate
Utah,2021-22,202111,75-84 years,All,All,129.3,Crude Rate
Utah,2021-22,202203,75-84 years,All,All,50.1,Crude Rate
Utah,2021-22,202206,75-84 years,All,All,237.1,Crude Rate
Utah,2021-22,202201,75-84 years,All,All,414.3,Crude Rate
Utah,2021-22,202205,75-84 years,All,All,142.5,Crude Rate
Utah,2021-22,202207,65-74 years,All,All,89.4,Crude Rate
Utah,2021-22,202206,65-74 years,All,All,92.1,Crude Rate
Utah,2021-22,202208,65-74 years,All,All,62.3,Crude Rate
Utah,2021-22,202205,65-74 years,All,All,43.4,Crude Rate
Utah,2021-22,202110,65-74 years,All,All,103.8,Crude Rate
Utah,2021-22,202112,65-74 years,All,All,99.3,Crude Rate
Utah,2021-22,202203,65-74 years,All,All,25.1,Crude Rate
Utah,2021-22,202201,65-74 years,All,All,240.8,Crude Rate
Utah,2021-22,202209,65-74 years,All,All,32.5,Crude Rate
Utah,2021-22,202204,65-74 years,All,All,16,Crude Rate
Utah,2021-22,202111,65-74 years,All,All,74.2,Crude Rate
Utah,2021-22,202202,65-74 years,All,All,85.6,Crude Rate
Utah,2021-22,202110,40-49 years,All,All,40.5,Crude Rate
Utah,2021-22,202208,40-49 years,All,All,15,Crude Rate
Utah,2021-22,202205,40-49 years,All,All,5,Crude Rate
Utah,2021-22,202207,40-49 years,All,All,26,Crude Rate
Utah,2021-22,202209,40-49 years,All,All,4.8,Crude Rate
Utah,2021-22,202112,40-49 years,All,All,36.8,Crude Rate
Utah,2021-22,202111,40-49 years,All,All,46.8,Crude Rate
Utah,2021-22,202202,40-49 years,All,All,27.4,Crude Rate
Utah,2021-22,202204,40-49 years,All,All,5.6,Crude Rate
Utah,2021-22,202201,40-49 years,All,All,84.2,Crude Rate
Utah,2021-22,202206,40-49 years,All,All,21.9,Crude Rate
Utah,2021-22,202203,40-49 years,All,All,13.1,Crude Rate
Utah,2021-22,202111,30-39 years,All,All,30.7,Crude Rate
Utah,2021-22,202201,30-39 years,All,All,92.7,Crude Rate
Utah,2021-22,202112,30-39 years,All,All,33.4,Crude Rate
Utah,2021-22,202209,30-39 years,All,All,8.8,Crude Rate
Utah,2021-22,202208,30-39 years,All,All,9.4,Crude Rate
Utah,2021-22,202206,30-39 years,All,All,16.5,Crude Rate
Utah,2021-22,202207,30-39 years,All,All,14.1,Crude Rate
Utah,2021-22,202202,30-39 years,All,All,32.3,Crude Rate
Utah,2021-22,202203,30-39 years,All,All,7.5,Crude Rate
Utah,2021-22,202204,30-39 years,All,All,5.4,Crude Rate
Utah,2021-22,202205,30-39 years,All,All,9.7,Crude Rate
Utah,2021-22,202110,30-39 years,All,All,31.8,Crude Rate
Utah,2021-22,202112,18-29 years,All,All,17,Crude Rate
Utah,2021-22,202207,18-29 years,All,All,13.5,Crude Rate
Utah,2021-22,202111,18-29 years,All,All,13.7,Crude Rate
Utah,2021-22,202205,18-29 years,All,All,5.2,Crude Rate
Utah,2021-22,202110,18-29 years,All,All,16,Crude Rate
Utah,2021-22,202202,18-29 years,All,All,25.5,Crude Rate
Utah,2021-22,202204,18-29 years,All,All,1.9,Crude Rate
Utah,2021-22,202209,18-29 years,All,All,9.2,Crude Rate
Utah,2021-22,202203,18-29 years,All,All,4.7,Crude Rate
Utah,2021-22,202206,18-29 years,All,All,14.1,Crude Rate
Utah,2021-22,202208,18-29 years,All,All,11.9,Crude Rate
Utah,2021-22,202201,18-29 years,All,All,64.2,Crude Rate
Utah,2021-22,202208,12-17 years,All,All,5,Crude Rate
Utah,2021-22,202205,12-17 years,All,All,0.9,Crude Rate
Utah,2021-22,202206,12-17 years,All,All,4,Crude Rate
Utah,2021-22,202202,12-17 years,All,All,9.1,Crude Rate
Utah,2021-22,202112,12-17 years,All,All,3.6,Crude Rate
Utah,2021-22,202203,12-17 years,All,All,1.8,Crude Rate
Utah,2021-22,202111,12-17 years,All,All,6.4,Crude Rate
Utah,2021-22,202207,12-17 years,All,All,10,Crude Rate
Utah,2021-22,202110,12-17 years,All,All,1.8,Crude Rate
Utah,2021-22,202201,12-17 years,All,All,20,Crude Rate
Utah,2021-22,202204,12-17 years,All,All,0,Crude Rate
Utah,2021-22,202209,12-17 years,All,All,6,Crude Rate
Utah,2021-22,202202,5-11 years,All,All,6.7,Crude Rate
Utah,2021-22,202209,5-11 years,All,All,5.6,Crude Rate
Utah,2021-22,202110,5-11 years,All,All,3.4,Crude Rate
Utah,2021-22,202204,5-11 years,All,All,0,Crude Rate
Utah,2021-22,202201,5-11 years,All,All,10.1,Crude Rate
Utah,2021-22,202111,5-11 years,All,All,5.9,Crude Rate
Utah,2021-22,202208,5-11 years,All,All,7.4,Crude Rate
Utah,2021-22,202203,5-11 years,All,All,1.7,Crude Rate
Utah,2021-22,202205,5-11 years,All,All,2.5,Crude Rate
Utah,2021-22,202206,5-11 years,All,All,4.6,Crude Rate
Utah,2021-22,202207,5-11 years,All,All,8.3,Crude Rate
Utah,2021-22,202112,5-11 years,All,All,5,Crude Rate
Utah,2021-22,202209,2-4 years,All,All,7,Crude Rate
Utah,2021-22,202204,2-4 years,All,All,6.3,Crude Rate
Utah,2021-22,202202,2-4 years,All,All,6.3,Crude Rate
Utah,2021-22,202111,2-4 years,All,All,4.2,Crude Rate
Utah,2021-22,202112,2-4 years,All,All,6.3,Crude Rate
Utah,2021-22,202110,2-4 years,All,All,6.3,Crude Rate
Utah,2021-22,202206,2-4 years,All,All,11.7,Crude Rate
Utah,2021-22,202201,2-4 years,All,All,21.1,Crude Rate
Utah,2021-22,202205,2-4 years,All,All,2.1,Crude Rate
Utah,2021-22,202203,2-4 years,All,All,6.3,Crude Rate
Utah,2021-22,202208,2-4 years,All,All,9.4,Crude Rate
Utah,2021-22,202207,2-4 years,All,All,18.8,Crude Rate
Utah,2021-22,202205,1-<2 years,All,All,6.5,Crude Rate
Utah,2021-22,202204,1-<2 years,All,All,6.5,Crude Rate
Utah,2021-22,202112,1-<2 years,All,All,32.5,Crude Rate
Utah,2021-22,202203,1-<2 years,All,All,13,Crude Rate
Utah,2021-22,202206,1-<2 years,All,All,21.8,Crude Rate
Utah,2021-22,202208,1-<2 years,All,All,14.5,Crude Rate
Utah,2021-22,202209,1-<2 years,All,All,21.8,Crude Rate
Utah,2021-22,202201,1-<2 years,All,All,32.5,Crude Rate
Utah,2021-22,202111,1-<2 years,All,All,6.5,Crude Rate
Utah,2021-22,202202,1-<2 years,All,All,26,Crude Rate
Utah,2021-22,202110,1-<2 years,All,All,0,Crude Rate
Utah,2021-22,202207,1-<2 years,All,All,21.8,Crude Rate
Utah,2021-22,202204,6mo-<12 months,All,All,0,Crude Rate
Utah,2021-22,202110,6mo-<12 months,All,All,0,Crude Rate
Utah,2021-22,202208,6mo-<12 months,All,All,29.6,Crude Rate
Utah,2021-22,202209,6mo-<12 months,All,All,14.8,Crude Rate
Utah,2021-22,202207,6mo-<12 months,All,All,74,Crude Rate
Utah,2021-22,202205,6mo-<12 months,All,All,26.5,Crude Rate
Utah,2021-22,202112,6mo-<12 months,All,All,0,Crude Rate
Utah,2021-22,202203,6mo-<12 months,All,All,53,Crude Rate
Utah,2021-22,202206,6mo-<12 months,All,All,74,Crude Rate
Utah,2021-22,202111,6mo-<12 months,All,All,39.7,Crude Rate
Utah,2021-22,202202,6mo-<12 months,All,All,53,Crude Rate
Utah,2021-22,202201,6mo-<12 months,All,All,132.4,Crude Rate
Utah,2021-22,202202,0-<6 months,All,All,92.7,Crude Rate
Utah,2021-22,202112,0-<6 months,All,All,105.9,Crude Rate
Utah,2021-22,202207,0-<6 months,All,All,118.3,Crude Rate
Utah,2021-22,202208,0-<6 months,All,All,177.5,Crude Rate
Utah,2021-22,202209,0-<6 months,All,All,103.5,Crude Rate
Utah,2021-22,202111,0-<6 months,All,All,119.1,Crude Rate
Utah,2021-22,202205,0-<6 months,All,All,79.4,Crude Rate
Utah,2021-22,202201,0-<6 months,All,All,251.5,Crude Rate
Utah,2021-22,202203,0-<6 months,All,All,26.5,Crude Rate
Utah,2021-22,202110,0-<6 months,All,All,53,Crude Rate
Utah,2021-22,202206,0-<6 months,All,All,147.9,Crude Rate
Utah,2021-22,202204,0-<6 months,All,All,26.5,Crude Rate
Utah,2021-22,202110,≥65 years,All,All,130.4,Crude Rate
Utah,2021-22,202207,≥65 years,All,All,149.1,Crude Rate
Utah,2021-22,202205,≥65 years,All,All,87,Crude Rate
Utah,2021-22,202204,≥65 years,All,All,34.8,Crude Rate
Utah,2021-22,202111,≥65 years,All,All,106.5,Crude Rate
Utah,2021-22,202206,≥65 years,All,All,166.5,Crude Rate
Utah,2021-22,202202,≥65 years,All,All,138.4,Crude Rate
Utah,2021-22,202208,≥65 years,All,All,104,Crude Rate
Utah,2021-22,202203,≥65 years,All,All,38.4,Crude Rate
Utah,2021-22,202209,≥65 years,All,All,78,Crude Rate
Utah,2021-22,202201,≥65 years,All,All,315.2,Crude Rate
Utah,2021-22,202112,≥65 years,All,All,115.2,Crude Rate
Utah,2021-22,202201,50-64 years,All,All,152.6,Crude Rate
Utah,2021-22,202111,50-64 years,All,All,61,Crude Rate
Utah,2021-22,202203,50-64 years,All,All,16.9,Crude Rate
Utah,2021-22,202207,50-64 years,All,All,38.4,Crude Rate
Utah,2021-22,202205,50-64 years,All,All,18,Crude Rate
Utah,2021-22,202209,50-64 years,All,All,13,Crude Rate
Utah,2021-22,202204,50-64 years,All,All,3.8,Crude Rate
Utah,2021-22,202206,50-64 years,All,All,43.3,Crude Rate
Utah,2021-22,202202,50-64 years,All,All,51.2,Crude Rate
Utah,2021-22,202208,50-64 years,All,All,27.9,Crude Rate
Utah,2021-22,202110,50-64 years,All,All,65.9,Crude Rate
Utah,2021-22,202112,50-64 years,All,All,65.4,Crude Rate
Utah,2021-22,202112,18-49 years,All,All,28.1,Crude Rate
Utah,2021-22,202202,18-49 years,All,All,28.3,Crude Rate
Utah,2021-22,202203,18-49 years,All,All,8.1,Crude Rate
Utah,2021-22,202206,18-49 years,All,All,17.2,Crude Rate
Utah,2021-22,202110,18-49 years,All,All,28.3,Crude Rate
Utah,2021-22,202205,18-49 years,All,All,6.6,Crude Rate
Utah,2021-22,202207,18-49 years,All,All,17.4,Crude Rate
Utah,2021-22,202111,18-49 years,All,All,28.9,Crude Rate
Utah,2021-22,202204,18-49 years,All,All,4.1,Crude Rate
Utah,2021-22,202201,18-49 years,All,All,79.4,Crude Rate
Utah,2021-22,202208,18-49 years,All,All,12,Crude Rate
Utah,2021-22,202209,18-49 years,All,All,7.8,Crude Rate
Utah,2021-22,202201,5-17 years,All,All,14.8,Crude Rate
Utah,2021-22,202112,5-17 years,All,All,4.4,Crude Rate
Utah,2021-22,202209,5-17 years,All,All,5.8,Crude Rate
Utah,2021-22,202202,5-17 years,All,All,7.9,Crude Rate
Utah,2021-22,202111,5-17 years,All,All,6.1,Crude Rate
Utah,2021-22,202205,5-17 years,All,All,1.7,Crude Rate
Utah,2021-22,202208,5-17 years,All,All,6.2,Crude Rate
Utah,2021-22,202207,5-17 years,All,All,9.1,Crude Rate
Utah,2021-22,202203,5-17 years,All,All,1.7,Crude Rate
Utah,2021-22,202110,5-17 years,All,All,2.6,Crude Rate
Utah,2021-22,202206,5-17 years,All,All,4.3,Crude Rate
Utah,2021-22,202204,5-17 years,All,All,0,Crude Rate
Utah,2021-22,202203,0-4 years,All,All,14.1,Crude Rate
Utah,2021-22,202208,0-4 years,All,All,28.6,Crude Rate
Utah,2021-22,202202,0-4 years,All,All,23.1,Crude Rate
Utah,2021-22,202205,0-4 years,All,All,12.8,Crude Rate
Utah,2021-22,202207,0-4 years,All,All,34.3,Crude Rate
Utah,2021-22,202206,0-4 years,All,All,32.9,Crude Rate
Utah,2021-22,202110,0-4 years,All,All,9,Crude Rate
Utah,2021-22,202204,0-4 years,All,All,7.7,Crude Rate
Utah,2021-22,202201,0-4 years,All,All,56.5,Crude Rate
Utah,2021-22,202112,0-4 years,All,All,20.6,Crude Rate
Utah,2021-22,202209,0-4 years,All,All,20,Crude Rate
Utah,2021-22,202111,0-4 years,All,All,19.3,Crude Rate
Tennessee,2021-22,202111,All,All,All,25.1,Crude Rate
Tennessee,2021-22,202209,All,All,All,25.3,Crude Rate
Tennessee,2021-22,202207,All,All,All,46.2,Crude Rate
Tennessee,2021-22,202203,All,All,All,9.2,Crude Rate
Tennessee,2021-22,202112,All,All,All,54.6,Crude Rate
Tennessee,2021-22,202205,All,All,All,15.9,Crude Rate
Tennessee,2021-22,202206,All,All,All,29.1,Crude Rate
Tennessee,2021-22,202201,All,All,All,132.2,Crude Rate
Tennessee,2021-22,202208,All,All,All,41.8,Crude Rate
Tennessee,2021-22,202204,All,All,All,5.1,Crude Rate
Tennessee,2021-22,202202,All,All,All,48.9,Crude Rate
Tennessee,2021-22,202110,All,All,All,30.9,Crude Rate
Tennessee,2021-22,202110,All,All,Hispanic,21.2,Crude Rate
Tennessee,2021-22,202205,All,All,Hispanic,4.6,Crude Rate
Tennessee,2021-22,202111,All,All,Hispanic,12.6,Crude Rate
Tennessee,2021-22,202206,All,All,Hispanic,15.9,Crude Rate
Tennessee,2021-22,202209,All,All,Hispanic,11,Crude Rate
Tennessee,2021-22,202112,All,All,Hispanic,30.4,Crude Rate
Tennessee,2021-22,202207,All,All,Hispanic,19.3,Crude Rate
Tennessee,2021-22,202202,All,All,Hispanic,23.1,Crude Rate
Tennessee,2021-22,202204,All,All,Hispanic,2,Crude Rate
Tennessee,2021-22,202203,All,All,Hispanic,5.3,Crude Rate
Tennessee,2021-22,202208,All,All,Hispanic,21.4,Crude Rate
Tennessee,2021-22,202201,All,All,Hispanic,111.8,Crude Rate
Tennessee,2021-22,202110,All,All,"A/PI, non-Hispanic",11.4,Crude Rate
Tennessee,2021-22,202112,All,All,"A/PI, non-Hispanic",9.7,Crude Rate
Tennessee,2021-22,202204,All,All,"A/PI, non-Hispanic",1.6,Crude Rate
Tennessee,2021-22,202207,All,All,"A/PI, non-Hispanic",26.1,Crude Rate
Tennessee,2021-22,202111,All,All,"A/PI, non-Hispanic",8.1,Crude Rate
Tennessee,2021-22,202205,All,All,"A/PI, non-Hispanic",9.7,Crude Rate
Tennessee,2021-22,202209,All,All,"A/PI, non-Hispanic",8.7,Crude Rate
Tennessee,2021-22,202201,All,All,"A/PI, non-Hispanic",48.7,Crude Rate
Tennessee,2021-22,202206,All,All,"A/PI, non-Hispanic",22.6,Crude Rate
Tennessee,2021-22,202202,All,All,"A/PI, non-Hispanic",13,Crude Rate
Tennessee,2021-22,202208,All,All,"A/PI, non-Hispanic",12.2,Crude Rate
Tennessee,2021-22,202203,All,All,"A/PI, non-Hispanic",1.6,Crude Rate
Tennessee,2021-22,202205,All,All,"AI/AN, non-Hispanic",0,Crude Rate
Tennessee,2021-22,202208,All,All,"AI/AN, non-Hispanic",0,Crude Rate
Tennessee,2021-22,202201,All,All,"AI/AN, non-Hispanic",44.5,Crude Rate
Tennessee,2021-22,202206,All,All,"AI/AN, non-Hispanic",23.7,Crude Rate
Tennessee,2021-22,202204,All,All,"AI/AN, non-Hispanic",0,Crude Rate
Tennessee,2021-22,202209,All,All,"AI/AN, non-Hispanic",71.1,Crude Rate
Tennessee,2021-22,202203,All,All,"AI/AN, non-Hispanic",0,Crude Rate
Tennessee,2021-22,202112,All,All,"AI/AN, non-Hispanic",44.5,Crude Rate
Tennessee,2021-22,202110,All,All,"AI/AN, non-Hispanic",0,Crude Rate
Tennessee,2021-22,202111,All,All,"AI/AN, non-Hispanic",44.5,Crude Rate
